HS-8 code,Product description,tariff,HS6,time_of_tariff,naics,naics4
02012000,Fresh or chilled unboned bovine meat ( excl. carcasses),25,020120,2018-07-06 00:00:00,311611,3116
02013000,Fresh or chilled boneless bovine meat,25,020130,2018-07-06 00:00:00,311611,3116
02021000,Frozen bovine carcasses & half carcasses,25,020210,2018-07-06 00:00:00,311611,3116
02022000,Frozen unboned bovine meat (excl. carcasses),25,020220,2018-07-06 00:00:00,311611,3116
02023000,Frozen boneless bovine meat,25,020230,2018-07-06 00:00:00,311611,3116
02031200,"Fresh or chilled unboned hams, shoulders & cuts thereof of swine",25,020312,2018-07-06 00:00:00,311611,3116
02031900,Other fresh or chilled swine meat,25,020319,2018-07-06 00:00:00,311611,3116
02032190,"Frozen swine carcasses & half carcasses, nes",25,020321,2018-07-06 00:00:00,311611,3116
02032200,"Frozen unboned hams, shoulders & cuts thereof of swine",25,020322,2018-07-06 00:00:00,311611,3116
02032900,Other frozen swine meat,25,020329,2018-07-06 00:00:00,311611,3116
02062900,Frozen edible bovine offal (excl. tongues & livers),25,020629,2018-07-06 00:00:00,311611,3116
02064100,Frozen swine livers,25,020641,2018-07-06 00:00:00,311611,3116
02064900,Frozen edible swine offal (excl. livers),25,020649,2018-07-06 00:00:00,311611,3116
02071200,Frozen whole chickens,25,020712,2018-07-06 00:00:00,311615,3116
02071311,"Fresh or chilled cuts of chicken, with bone",25,020713,2018-07-06 00:00:00,311615,3116
02071411,"Frozen chicken cuts, with bone",25,020714,2018-07-06 00:00:00,311615,3116
02071419,"Frozen chicken cuts, nes",25,020714,2018-07-06 00:00:00,311615,3116
02071421,Frozen midjoint wing of chicken,25,020714,2018-07-06 00:00:00,311615,3116
02071422,Frozen chicken claw,25,020714,2018-07-06 00:00:00,311615,3116
02071429,"Frozen offal of chicken, nes",25,020714,2018-07-06 00:00:00,311615,3116
02072500,Frozen whole turkeys,25,020725,2018-07-06 00:00:00,311615,3116
02072700,Frozen cuts & offal of turkeys,25,020727,2018-07-06 00:00:00,311615,3116
02074200,Frozen whole ducks,25,020742,2018-07-06 00:00:00,311615,3116
02074500,Frozen cuts & offal of ducks,25,020745,2018-07-06 00:00:00,311615,3116
02091000,"Pig fat, not extracted, fresh, chilled, frozen, dried or salted",25,020910,2018-07-06 00:00:00,311611,3116
