"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-03-31,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,3592,0.002511861568518,0.0216154721274175,0.0309988518943743,22563
2019-03-31,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,1896,-0.00105374077976818,0.0112,0.0411861614497529,32530
2019-03-31,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,3993,-0.00100075056292219,0.0352605652061187,0.0659369994660972,29247
2019-03-31,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,2121,0.00236294896030246,-0.00980392156862745,-0.0310644129739607,31733
2019-03-31,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,2072,0.00778210116731518,0.0196850393700787,0.0318725099601594,33465
2019-03-31,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",5,1482,0.00202839756592292,0.0109140518417462,0.0277392510402219,31997
2019-03-31,"79936","TX","El Paso","El Paso County","El Paso",6,1017,0.00197044334975369,0.0119402985074627,0.0231388329979879,31535
2019-03-31,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,1475,0.00135777325186694,0.00889192886456908,0.0228848821081831,26765
2019-03-31,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,3804,-0.00575013068478829,0.00928628283364288,0.0365122615803815,9248
2019-03-31,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,1884,0.00426439232409382,0.0222463374932176,0.0495821727019499,7574
2019-03-31,"11226","NY","New York-Newark-Jersey City","Kings County","New York",10,2218,-0.00627240143369176,-0.000900900900900901,-0.0216144684605205,11209
2019-03-31,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",11,1613,-0.0030902348578492,-0.00247371675943105,0.0170239596469105,22637
2019-03-31,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,4465,0.000896659941717104,0.00472547254725473,0.013390830685429,9585
2019-03-31,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,3763,-0.00502379693283977,0.00373432915444118,0.0369247726646459,27061
2019-03-31,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",14,1649,0.00304136253041363,0.0061012812690665,0.0197897340754484,23332
2019-03-31,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",15,1504,0.00199866755496336,0.00669344042838019,0.032967032967033,22729
2019-03-31,"11235","NY","New York-Newark-Jersey City","Kings County","New York",16,2192,-0.00136674259681093,-0.00136674259681093,-0.0287992910943731,17283
2019-03-31,"11375","NY","New York-Newark-Jersey City","Queens County","New York",17,2201,-0.0018140589569161,0.00548195523069895,0.0299485259709874,22764
2019-03-31,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",18,1824,0.0021978021978022,0.00829187396351575,0.0328425821064553,20342
2019-03-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",19,2782,0.00143988480921526,0.0127411721878413,0.035355414960923,14888
2019-03-31,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",20,1556,0.00257731958762887,0.00516795865633075,0.0123617436564736,20530
2019-03-31,"10029","NY","New York-Newark-Jersey City","New York County","New York",21,2896,-0.00137931034482759,0.00277008310249307,-0.00753941055517478,5819
2019-03-31,"11201","NY","New York-Newark-Jersey City","Kings County","New York",22,3035,-0.000329380764163373,0.0215415684954561,0.0469127285270783,21266
2019-03-31,"10009","NY","New York-Newark-Jersey City","New York County","New York",23,3834,-0.00981404958677686,0.00709219858156028,0.030091348737238,9370
2019-03-31,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",24,1961,0,0.00255623721881391,-0.00203562340966921,26037
2019-03-31,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",25,1860,0.00377765785213168,0.0163934426229508,0.0362116991643454,20898
2019-03-31,"78130","TX","San Antonio-New Braunfels","Comal County","New Braunfels",26,1488,0.00202020202020202,0.0108695652173913,0.0276243093922652,21861
2019-03-31,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",27,1890,0.00212089077412513,0.00907634810464495,0.00585417775412453,22788
2019-03-31,"10011","NY","New York-Newark-Jersey City","New York County","New York",28,4359,-0.00411240575736806,0.0258884443398447,0.0400858983536149,21685
2019-03-31,"10128","NY","New York-Newark-Jersey City","New York County","New York",29,3333,-0.00418285031371377,0.00300932891965092,0.0087772397094431,22985
2019-03-31,"28269","NC","Charlotte-Concord-Gastonia","Mecklenburg County","Charlotte",30,1406,0.00285306704707561,0.0129682997118156,0.0384047267355982,26248
2019-03-31,"20002","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",31,2650,-0.00113079532604599,0.0122230710466005,0.0267338240991864,18718
2019-03-31,"78613","TX","Austin-Round Rock","Williamson County","Cedar Park",32,1731,0.00173611111111111,0.00406032482598608,0.0146541617819461,23786
2019-03-31,"78572","TX","McAllen-Edinburg-Mission","Hidalgo County","Mission",33,1066,-0.00466853408029879,-0.0120481927710843,0.0181470869149952,20107
2019-03-31,"30349","GA","Atlanta-Sandy Springs-Roswell","Clayton County","Riverdale",34,1201,0.00502092050209205,0.0186598812553011,0.0479930191972077,24020
2019-03-31,"79912","TX","El Paso","El Paso County","El Paso",35,1272,0.00236406619385343,0.0216867469879518,0.0538525269262635,20982
2019-03-31,"94565","CA","San Francisco-Oakland-Hayward","Contra Costa County","Pittsburg",36,2337,0.00516129032258065,0.0277044854881266,0.0489228007181329,22287
2019-03-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",37,3914,-0.00483091787439614,-0.00203977562468129,0.0174161684429426,11104
2019-03-31,"77433","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",38,1784,0.000560852495793606,-0.00167879127028539,0.0165242165242165,25016
2019-03-31,"75052","TX","Dallas-Fort Worth-Arlington","Dallas County","Grand Prairie",39,1624,0.00246913580246914,0.0112079701120797,0.0233144297416509,25215
2019-03-31,"20009","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",40,2584,0.000774593338497289,0.00701480904130943,-0.0167427701674277,16097
2019-03-31,"37042","TN","Clarksville","Montgomery County","Clarksville",41,965,0.00416233090530697,0.0147213459516299,0.0255047821466525,26354
2019-03-31,"73099","OK","Oklahoma City","Canadian County","Yukon",42,1265,0.00237717908082409,0.0103833865814696,0.0209846650524617,25773
2019-03-31,"11206","NY","New York-Newark-Jersey City","Kings County","New York",43,2572,0.000778210116731518,0.00744222483352918,0.00586624951114587,9003
2019-03-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris County","Cypress",44,1788,0.00111982082866741,0.00619020821609454,0.0199657729606389,25928
2019-03-31,"10462","NY","New York-Newark-Jersey City","Bronx County","New York",45,1778,-0.00112359550561798,0.0355270821199767,0.0848078096400244,18784
2019-03-31,"10456","NY","New York-Newark-Jersey City","Bronx County","New York",46,2072,0.000482858522452921,0.0323866467364225,0.0905263157894737,3386
